Organism	Tool	Number of Genes	Number of Reactions	Number of Metabolites
Xylella fastidiosa	carveme	518	1165	807
Xylella fastidiosa	reference	422	556	549
Xylella fastidiosa	BIT	542	2458	2633
Xylella fastidiosa	BIT	452	839	907
Xylella fastidiosa	BIT	394	632	803
